"","Attribute","Description"
"11","YSM_MAIN_FM","Y/N flag to identify if SAMPLE_ESTABLISHMENT_TYPE=YSM - CMI - and NFI occurs in the young stand population (15-50yrs old) based on the phase 1 inventory age (PROJ_AGE_ADJ) at time of first measurement."
"12","MAT_MAIN_FM","Y/N flag to identify if SAMPLE_ESTABLISHMENT_TYPE=CMI - NFI - SUP and VRI occurs in the mature population (>50yrs old) - based on the phase 1 inventory age (PROJ_AGE_ADJ) at time of first measurement."
"13","SPECIES_CLASS","Leading species (SPC_LIV_1) grouped into reporting classes. "
"14","MEAS_DT","Date on which the measurement activities were started.  "
"15","TFL","Tree Farm Licence (TFL) number as defined from a spatial overlay of the BCGW WHSE_ADMIN_BOUNDARIES.FADM_TFL layer.  The date the spatial overlay was completed is included in the internal FAIB compilation report or published readme.txt. "
"16","NO_PLOTS","Number of plots in the sample. "
"17","OWN_SCHED_DESCRIP","Description of the generalized OWNERSHIP / SCHEDULE."
"18","PSP_STATUS","PSP sample status at last measurement (Active - Inactive)"
"19","GRID_SIZE","Grid dimensions (km*km) of grid based ground sample establishment types (CMI - NFI - YSM - SUP)"
"20","GRID_BASE","Grid reference for all grid based sample establishment types (NFI or PROVincial)"
"21","IP_UTM","The Universal Trans Mercator Projection (UTM) zone reference line from which the Easting distance of the point is taken. UTM system uses 60 zones, each 6 degrees of longitude wide. "
"22","IP_EAST","Longitudinal coordinate of the Universal Trans Mercator Projection (UTM). The co-ordinate that locates the point along a longitudinal axis of a UTM map projection.  Column is optional due to absence of data historically - only a UTM Zone may be provided."
"23","IP_NRTH","Latitudinal Co-ordinate of the Universal Trans Mercator Projection (UTM). The co-ordinate that locates a point along a latitudinal axis of a UTM map projection. Column is optional due to absence of data historically - only a UTM Zone may be provided."
"24","BECLABEL","Biogeoclimatic Ecosystem Classification (BEC) zone - subzone - and variant as defined from a spatial overlay of the BCGW WHSE_FOREST_VEGETATION.BEC_BIOGEOCLIMATIC_POLY layer.   The date the spatial overlay was completed is included in the internal FAIB compilation report or published readme.txt."
"25","SAMP_TYP","Sample Type F/V - Indicates if the sample is fixed area (F) or variable radius (V- prism or relascope)."
"26","UTIL","Close Utilization (CU) Limit - The minimum tree DBH included in calculations. The files store values compiled to 2cm (PSP only) - 4 cm - 7.5 cm - 12.5 cm - 17.5 cm and 22.5 cm.  Some attributes (e.g., net merch volume) are generally associated with a specified CU when reporting. i.e. the net merch volume is at 12.5cm CU for PL and 17.5cm CU for other species.   Note refer to the SUMRY_RANGE to ensure the UTIL is fully summarized. "
"27","BA_HA_LS","Basal Area Per ha (m2/ha) for live standing trees (all live trees in PSPs only).  For fixed area plots - it is calculated using Sum Of (BA_TREE * PHF_TREE * PLOT_WT)/NO_PLOT.  For variable radius plots - it is calculated using (BAF * NO_TREES) /NO_PLOT."
"28","BA_HA_DS","Basal Area Per ha (m2/ha) for dead standing trees.  For fixed area plots - it is calculated using Sum Of (BA_TREE * PHF_TREE * PLOT_WT)/NO_PLOT.  For variable radius plots - it is calculated using (BAF * NO_TREES) /NO_PLOT."
"29","STEMS_HA_LS","# stems / ha for live standing trees (all live trees in PSPs only). This is often referred to as density or stand density."
"30","STEMS_HA_DS","# stems / ha for dead standing trees. This is often referred to as density or stand density."
"31","VHA_WSV_LS","Whole stem volume / ha for live standing trees (m3/ha) (all live trees in PSPs only).  Definition of whole stem volume can be found at VOL_WSV."
"32","VHA_WSV_DS","Whole stem volume / ha for dead standing trees (m3/ha).  Definition of whole stem volume can be found at VOL_WSV."
"33","VHA_NTWB_LS","Live Standing - Net merchantable volume (m3/ha) (all live trees in PSPs only). This is the whole stem volume less top volume (@ 10cm DIB) - stump volume (@ 30cm ht) and less cruiser called decay - waste and breakage."
"34","VHA_NTWB_DS","Dead Standing - Net merchantable volume (m3/ha). This is the whole stem volume less top volume (@ 10cm DIB) - stump volume (@ 30cm ht) and less cruiser called decay - waste and breakage."
"35","SPC_LIVE_1","Live Standing Leading Species by Basal area at the given UTIL limit"
"36","SPB_CPCT_LS","Live Standing Species Composition by Basal area  (all live trees in PSPs only) - Is a list of the top 5 species by % of basal area ranked highest to lowest "
"37","SI_M_TLSO","Mean site index (m) for T-L-S-O trees.  This is calculated as the mean site index from each suitable site tree site index in the plot - using the default MOF site index / growth intercept equations programmed in the current published version of SINDEX33.DLL. "
"38","HT_TLSO","Mean height of all T-L-S-O trees"
"39","AGEB_TLSO","Mean breast height age for the T-L-S-O trees for a given species.  "
"40","AGET_TLSO","Mean total age for the T-L-S-O trees for a given species.  Total age is derived from BH age using 'years to BH functions' in the SINDEX33.DLL. "
"41","BC_ALBERS_X","The derived Albers coordinate from the IP_EAST UTM coordinate.  The co-ordinate locates the point along a longitudinal axis of a Albers map projection.  "
"42","BC_ALBERS_Y","The derived Albers coordinate from the IP_NRTH UTM coordinate.  The co-ordinate locates the point along a latitudinal axis of a Albers map projection.  "
"43","objectid","Auto generated unique identifier created in the Shiny App export."
